Filename,transcript,Call Type,Tags,Notes,original_transcript
202412021948-545512-14744_call_8.wav,10 16 23p respond couple unconcious near 804 avalone avenue avalon terrace 2104 2016 23p responding report of an unconcious near 804 avalon avenue caller states someone laying on the sidewalk didnt see them moving couldnt give any further info police department is responding as well 21 at 5 chief were gonna end up staging right there with engine 10 they were going to a lockdown with them being advanced life support do you want them to proceed to the gunshot when needed yeah thats correct engine 10 you copy ill pick up the lockout engine 10 copy i think we didnt you copy fire 10,"fire, medical",gunshot,,10 16 23p respond couple unconcious near 804 avalone avenue avalon terrace 2104 2016 23p responding report of an unconcious near 804 avalon avenue caller states someone laying on the sidewalk didnt see them moving couldnt give any further info PD is responding as well 21 at 5 chief were gonna end up staging right there with engine 10 they were going to a lockdown with them being ALS do you want them to proceed to the gunshot when needed yeah thats correct engine 10 you copy ill pick up the lockout engine 10 copy i think we didnt you copy fire 10
202412031043-922113-14744_call_16.wav,fire 10 32 1 32 1 sure 10 ladder truck 2 youre arriving on scene doing roll call 295 thats correct were arriving on scene single story elementary school i do have 8 services in the parking lot well be interfacing with them ill advise shortly this is dispatch alarm heard and copy,fire,fire,,fire 10 32 1 32 1 sure 10 ladder truck 2 youre arriving on scene doing roll call 295 thats correct were arriving on scene single story elementary school i do have 8 services in the parking lot well be interfacing with them ill advise shortly this is dispatch alarm heard and copy
202412040607-588047-14744_call_11.wav,copy 6 20p available 10 4 i was gonna ask if you wanted to head down that way per steve s calls intramuscular gonna have them start headed uptown 20 you d get cleared by engine 2 shortly when they do we can send them to ran thank you sir this is 733 this is 2 patient deceased we have a patient deceased time is 520p you can go declare engine 2 just want to verify youre doing paperwork copy 730 england 520 we copy send us vehicle involved white sedan copy moving now ok appreciate it let me just give you that they requested an advanced life support ambulance to west 520p 520p pretty sure were to tac 3 for the accident at princetown road they are requesting an advanced life support ambulance at this time as of 735 virginia beach name is 1420p i do happen to be around here maternity call 202 silver plain apartment 202 it was upgraded patient week 28 breathing concious no previous had,medical,maternity,,"copy 6 20p available 10-4 i was gonna ask if you wanted to head down that way per steve's calls im gonna have them start headed uptown 20 you'd get cleared by engine 2 shortly when they do we can send them to ran thank you sir this is 733 this is 2 patient deceased we have a patient deceased time is 520p you can go declare engine 2 just want to verify youre doing paperwork copy 730 england 520 we copy send us vehicle involved white sedan copy moving now ok appreciate it let me just give you that they requested an ALS ambulance to west 520p 520p pretty sure were to tac 3 for the accident  at princetown road they are requesting an ALS ambulance at this time as of 735 virginia beach name is 1420p i do happen to be around here maternity call 202 silver plain apartment 202 it was upgraded patient week 28 breathing concious, no previous had"
202412040637-530611-14744_call_6.wav,engine 7 go ahead 10 4 have you made contact we just got the waiver right now were moving out and well report the actual room number in a moment this is 1040 boyfriend should be coming down to lead you up there rescue 15p hey rescue 15p ive got you going to a stroke call 4824 4024 brownfield avenue ive got my emergency medical services 1 and 2 heading that way as well copy that h major rescue 15p en route sir at 741,"fire, medical","stroke, maternity",,engine 7 go ahead 10-4 have you made contact we just got the waiver right now were moving out and well report the actual room number in a moment this is 1040 boyfriend should be coming down to lead you up there rescue 15p hey rescue 15p ive got you going to a stroke call 4824 4024 brownfield avenue ive got my EMS 1 and 2 heading that way as well copy that h major rescue 15p en route sir at 741
202412040736-239835-14744_call_4.wav,accident with injuries on the interstate 264 westbound after independent 1623p that 41 ive got the fall holding now in n is 924p be available for this appreciate it sir 3841 standby on older nation just hold it for a moment copy a we got a better location on the 264 accident west after independence its gonna be in the right lane on the on the shoulder 264 westbound after independence,medical,"accident, injury, trauma",,accident with injuries on the interstate 264 westbound after independent 1623p that 41 ive got the fall holding now in n is 924p be available for this appreciate it sir 3841 standby on older nation just hold it for a moment copy a we got a better location on the 264 accident west after independence its gonna be in the right lane on the on the shoulder 264 westbound after independence
202412040736-239835-14744_call_6.wav,go to tac 4 28 emergency medical services 4 call your response 28 older nation has been turned over to fast track you can clear that case 10 4 go ahead and do that and what do you want me to do with the call sir hold that call until at least until we get a unit thats clear from lee depending on what other calls come in and generally no engines for 32 holds unless required 3046 50 just hold that scene copy thank you,"fire, medical",,,go to tac 4 28 EMS 4 call your response 28 older nation has been turned over to fast track you can clear that case 10-4 go ahead and do that and what do you want me to do with the call sir hold that call until at least until we get a unit thats clear from lee depending on what other calls come in and generally no engines for 32 holds unless required 3046 50 just hold that scene copy thank you
202412041135-308215-14744_call_10.wav,came and walked through the structure confirmed no reading 1623 is available intramuscular gonna have you respond to the illness call 400 major andre road 1623p en route to the illness call 400 major andre road we ll be responding engine 7 for a 69 year old female concious breathing at 1240,"fire, medical","gas leak, illness",,came and walked through the structure confirmed no reading 1623 is available im gonna have you respond  to the illness call 400 major andre road 1623p en route to the illness call 400 major andre road we'll be responding engine 7 for a 69 year old female concious breathing at 1240
202412041703-315276-14744_call_6.wav,two ambulance 9 22p were available well take their call for 17th yes sir on 17th repeat copy you can disregard 17p repeat copy we re clear thank you 922p clear 3 1722 do you copy,medical,ambulance,,"2 ambulance 9 22p were available well take their call for 17th yes sir on 17th repeat copy you can disregard, 17p repeat copy we're clear thank you 922p clear 3 1722 do you copy"
202412050429-519717-14744_call_21.wav,engine 11 this is engine 11 go ahead one s gonna hail you on tac 3 correct 211 10 1 yeah 10 4 say whatcha got and what do you need i got a homeless encampment behind a distribution center thats about i got about a acre burning right now with a slight wind i got a engine 14 comin to me and brush 8 coming to me that should be enough were setting up a garden lay right now but i might need some manpower ok 10 4 ill head that way to help you out,fire,"fire, brush fire",,"engine 11 this is engine 11 go ahead one's gonna hail you on tac 3, correct 211 10 1 yeah 10-4 say whatcha got and what do you need i got a homeless encampment behind a distribution center thats about i got about a acre burning right now with a slight wind i got a engine 14 comin to me and brush 8 coming to me that should be enough were setting up a garden lay right now but i might need some manpower ok 10-4 ill head that way to help you out"
202412050728-925202-14744_call_6.wav,428 for a fall call 1128 first road 160a 522p emergency medical services 2 en route for a fall call great metric center responding with ladder 1 for a male 65 to 70 years old conscious breathing 415 you ll be transporting nonemergent with 422 832 95p en route for an unconcious off 5 charlotte road responding with engine 9 for a 35 year old male nonconscious is breathing will be bsi precautions,medical,"trauma, fall",,428 for a fall call 1128 first road 160a 522p  EMS 2 en route for a fall call great metric center responding with ladder 1 for a male 65 to 70 years old conscious breathing 415 you'll be transporting nonemergent with 422 832 95p en route for an unconcious off 5 charlotte road responding with engine 9 for a 35 year old male nonconscious is breathing will be BSI precautions
202412050858-692837-14744_call_2.wav,21p 1132 hill road 3 doing roll call engine 3 fire rescue one engine three ladder 11 ladder 11 engine 11 211 who wants to clear since engine 8 is on this yes sir intramuscular looking at that go ahead and go in the clear to an accident here in front of us can you assign the next closest to that call copy all units on the tac battalion 1 has contacted for uh vng on channel 1 company 1,fire,roll call,,21p 1132 hill road 3 doing roll call engine 3 fire rescue 1 engine 3 ladder 11 ladder 11 engine 11 211 who wants to clear since engine 8 is on this yes sir im looking at that go ahead and go in the clear to an accident here in front of us can you assign the next closest to that call copy all units on the tac battalion 1 has contacted for uh VNG on channel 1 company 1
202412051456-239162-14744_call_1.wav,close lane and search that area engine 4 10 4 we did a loop in nothing is down here no odor yeah copy that 2 you got nothing where you are correct copy sir engine 22 if you could continue down to shell cove lane and check out that area and if we dont have anything there well call a engine copy engine 22 disregard my last you guys can hang out on the road there intramuscular just gonna take a lap around here,fire,,,close lane and search that area engine 4 10-4 we did a loop in nothing is down here no odor yeah copy that 2 you got nothing where you are correct copy sir engine 22 if you could continue down to shell cove lane and check out that area and if we dont have anything there well call a engine copy engine 22 disregard my last you guys can hang out on the road there im just gonna take a lap around here
202412051556-238089-14744_call_12.wav,1621 asked to respond for a medical alarm 6405 auburn drive vance apartments no unit number 1711 all units check for an open mic patient at 501 drive your patient is going to be inside of a grey impala male concious breathing a nearly amputated finger at 1712 engine 3 to virginia beach engine 3 object is still on the patient s hand standby ill check with call taker,medical,"trauma, hand",,1621 asked to respond for a medical alarm 6405 auburn drive vance apartments no unit number 1711 all units check for an open mic patient at 501 drive your patient is going to be inside of a grey impala male concious breathing a nearly amputated finger at 1712 engine 3 to virginia beach engine 3 object is still on the patient's hand standby ill check with call taker
202412061348-251491-14744_call_9.wav,virginia beach chief copy 10 4 1421p excuse me uh 1429 check virginia beach test 17 23p estimated time of arrival on police department because they just showed up thank you 1427 virginia beach we are assessing 1 basic life support patient we have officer involved 10 4 1512 23 to ladder 21 this is engine 21 go ahead come up here and bring your tools to possibly open this door copy well bring tools towards you,medical,"BLS, fire, police",,virginia beach chief copy 10-4  1421p excuse me uh 1429 check virginia beach test 17 23p ETA on PD because they just showed up thank you 1427 virginia beach we are assessing 1 BLS patient we have officer involved 10-4 1512 23 to ladder 21 this is engine 21 go ahead come up here and bring your tools to possibly open this door copy well bring tools towards you
202412061448-597093-14744_call_6.wav,rescue 14 ambulance 1424 advanced life support needed for an unconscious at 915 south oreole circle in 101 could it be in reference to flammable call tac channel 3 is assigned at 1602 d5 virginia beach d5 we have one basic life support patient with a neck and back i have could you send a supervisor and an md to south oreole street 10 4,medical ,"ALS, BLS, trauma",,rescue 14 ambulance 1424 ALS needed for an unconscious at 915 south oreole circle in 101 could it be in reference to flammable call tac channel 3 is assigned at 1602 d5 virginia beach d5 we have one BLS patient with a neck and back i have could you send a supervisor and an MD to south oreole street 10-4
202412010133-841696-14744_call_2.wav,x arriving on scene i ll assume command as x on the outside x command go ahead x no signs of smoke and fire in the structure all the alarms are going off because they re hard wired x eyes in the attic once we know the attic is clear x to handle command received battalion 3 is arriving second x command received battalion three engine 7 to command attic is clear engine 7 can handle received attic is clear 7s is going to handle all units clear x rescue 2 is clear,fire,fire,,"[x] Arriving on scene, I'll assume command as [x] on the outside. [x] Command, go ahead [x]. No signs of smoke and fire in the structure, all the alarms are going off because they're hard wired; [x] eyes in the attic once we know the attic is clear [x] to handle; command received. battalion 3 is arriving second [x] command received battalion 3. engine 7 to command, attic is clear. engine 7 can handle. received. attic is clear, 7s is going to handle. all units clear. [x] rescue 2 is clear."
202412011757-965821-14744_call_11.wav,command to ladder 2 status of x x copy comments stated there s possibly a occupant on oxygen interior 19 20 x possibly one more individual in x over by where we re parked we re making patient contact x just stand by for a second will do x,fire,fire,,"Command to ladder 2, status of [x]. [x] Copy. Comments stated there's possibly a occupant on oxygen interior. 19:20 [x] possibly one more individual in [x] over by where we're parked. we're making patient contact. [x] just stand by for a second. will do. [x] "
202412011757-965821-14744_call_5.wav,roll call for 1541 winter road engine two engine two ladder two engine four engine seven engine seven rescue two rescue two battalion 5 1 1 x engine 4 emergency medical services 4 emergency medical services 4 x copy all units respond with engine 4,,roll call,,roll call for 1541 winter road. engine 2. engine 2. ladder 2. engine 4. engine 7. engine 7. rescue 2. rescue 2. battalion 5. 1. 1. [x] engine 4. ems 4. ems 4. [x] copy all units respond with engine 4.
202412020952-344688-14744_call_14.wav,rescue 8 1424p can you respond to an illness 612 6 1 2 jack rabbit road three shipps coffee at 11 17 rescue 8 1424p jack rabbit road x at 11 17 3p for an unconscious at 1533 1 5 3 3 brookwood crescent x green run at 11 18 rescue 15 1623p for an unconscious at 1 5 3 3 brookwood crescent rescue 9 923p for a bleed 4853 4 8 5 3 x road x extension at 11 18 rescue 9 923p bleed 4 8 5 3 x road x extension at 11 18 6 1 2 jack rabbit road three shipps coffee patient is going to be waiting out front x 48 year old male he is conscious and breathing at 11 19,medical,"illness, unconscious, EMS, bleed",,"rescue 8, 1424P can you respond to an illness 612 6-1-2 jack rabbit road three shipps coffee at 11:17. rescue 8. 1424P jack rabbit road [x] at 11:17. 3P for an unconscious at 1533 1-5-3-3 brookwood crescent [x] green run at 11:18. rescue 15 1623P for an unconscious at 1-5-3-3 brookwood crescent. rescue 9 923P for a bleed 4853 4-8-5-3 [x] road [x] extension at 11:18. rescue 9 923P bleed 4-8-5-3 [x] road [x] extension at 11:18. 6-1-2 jack rabbit road. three shipps coffee patient is going to be waiting out front [x] 48 year old male he is conscious and breathing at 11:19"
202412021022-748072-14744_call_9.wav,starting roll call for 1117 berkley drive engine 19 19 engine seven engine seven engine 2 respond for the overdose at 2501 2 5 0 1 james madison boulevard at the jail at 11 29 621p copy right have a 40 year old male conscious breathing possible overdose narcan times two at 11 29 x emergency medical services 1 emergency medical services 1 x scene working fire x95 go ahead 19 engine 9 is on scene looks like we got a garage detached garage in the back engine 19 to investigate i ll pass command off to you copy establishing command x on scene,"medical, fire","overdose, EMS, fire",,"starting roll call for 1117 [berkley] drive. engine 19. 19. engine 7. engine 7. engine 2. respond for the overdose at 2501 2-5-0-1 james madison boulevard, at the jail, at 11:29. 621P copy right, have a 40 year old male, conscious breathing, possible overdose, narcan times two at 11:29. [x] ems 1. ems 1. [x] scene working fire. [x]95 go ahead 19. engine 9 is on scene. looks like we got a garage detached garage in the back. engine 19 to investigate, i'll pass command off to you. copy, establishing command. [x] on scene."
202412021121-31317-14744_call_13.wav,engine 4 to 923 we got a spot right in front of the pick up truck for you 73 1 6 7 3 gray friars chase at 12 36 engine 22 to 1723 x we have 1 basic life support patient when you guys get here just pull up right in front of the white mistubishi and between the engine and the white car and we ll move x chief complaint headache will do ambulance 2 220p copy x to the choking 1 6 7 3 gray friars chase patient is 77 year old female conscious breathing x choking 12 37,medical,"choking, EMS",,"engine 4 to 923, we got a spot right in front of the pick up truck for you. 73 1-6-7-3 gray friars chase at 12:36. engine 22 to 1723, [x]. we have 1 BLS patient. when you guys get here, just pull up right in front of the white mistubishi and between the engine and the white car and we'll move [x] chief complaint headache. will do. ambulance 2, 220P, copy [x] to the choking 1-6-7-3 gray friars chase patient is 77 year old female conscious breathing [x] choking 12:37"
202412021919-979320-14744_call_3.wav,920 can you respond for an illness our lady of perpetual help 4560 princess anne road apartment 132 b as in boy 20 28 x our lady of perpetual help 4560 princess anne road apartment 132 b i have a 64 year old male conscious and breathing x needs a foley catheter inserted they want him transported 20 28 emergency medical services 1 would you put the following units x unavailable question mark 923p 1622p 1723p,medical,"EMS, catheter",,"920 can you respond for an illness Our Lady of Perpetual Help 4560 princess anne road apartment 132 B as in boy 20:28. [x] Our Lady of Perpetual Help 4560 princess anne road apartment 132 B. i have a 64 year old male conscious and breathing. [x] needs a foley catheter inserted, they want him transported 20:28. ems 1. would you put the following units [x] unavailable? 923P 1622P 1723P. "
202412031043-922113-14744_call_18.wav,command to batallion 5 x command there s x there s gonna be a small fire due to a lawn mower backing over leaf debris fire is out ladder 2 can handle you can clear all additional units x clear do you need the tac question mark negative you can clear the tac x basic life support to x both units are ok on scene 12 08 x emergency medical services 3 x emergency medical services has it clear from x you can show us available 12 08 rescue 10 ambulance 422 for an injury from a fall 56 56 indian river road waffle house x at 12 08,fire,fire,,"command to batallion 5. [x] command. there's [x] there's gonna be a small fire due to a lawn mower backing over leaf debris. fire is out. ladder 2 can handle. you can clear all additional units. [x] clear. do you need the tac? negative, you can clear the tac. [x] BLS to [x]. both units are ok on scene. 12:08. [x] ems 3. [x] ems has it. clear from [x] you can show us available. 12:08. rescue 10 ambulance 422 for an injury from a fall 56 56 indian river road waffle house [x] at 12:08. "
202412031512-254309-14744_call_16.wav,do not charge the line 220 is arriving on scene second engine command copy to 20 x water supply x no extension in the house engine 3 and the ladder 10 can handle x x boulevard x for emergency medical services x engine 20 can clear all units except for ladder 10 engine 3 and rescue 2 you can clear clear 20 x 4 copy x ambulance 1622 available,fire,fire,,"do not charge the line. 220 is arriving on scene. second engine. command copy to 20. [x] water supply. [x] no extension in the house, engine 3 and the ladder 10 can handle [x]. [x] boulevard. [x] for ems. [x] engine 20 can clear. all units except for ladder 10 engine 3 and rescue 2 you can clear. clear 20. [x] 4 copy. [x] ambulance 1622 available."
202412040437-202163-14744_call_14.wav,520p we re double checking with the caller but i have another prior from back in august that says the code is 3 5 4 1 copy we ll try 3 5 4 1 x it doesn t seem like anything s x since we got here it s just a light haze in the x we checked all the mechanical room and x control room on the first floor engine 4 is going to the second floor to check out above it but we haven t found anything yet we re trying to find somebody here to see if they actually x smoke or x x to command go ahead engine 1 we re up in the mezzanine area located in x or a chiller of some kind we ve got light smoke coming from it it s not on fire we re gonna isolate power to it and then we can handle it with engine 1 and ladder 1 isolated the issue engine 1 and ladder 1 we got rescue 1 coming inside too all other units can clear,fire,,,"520P we're double checking with the caller, but i have another prior from back in august that says the code is 3-5-4-1. copy, we'll try 3-5-4-1. [x] it doesn't seem like anything's [x] since we got here. it's just a light haze in the [x]. we checked all the mechanical room and [x] control room on the first floor. engine 4 is going to the second floor to check out above it, but we haven't found anything yet. we're trying to find somebody here to see if they actually [x] smoke or [x]. [x] to command. go ahead engine 1. we're up in the mezzanine area, located in [x] or a chiller of some kind. we've got light smoke coming from it. it's not on fire. we're gonna isolate power to it and then we can handle it with engine 1 and ladder 1. isolated the issue. engine 1 and ladder 1. we got rescue 1 coming inside too. all other units can clear."
202412040637-530611-14744_call_16.wav,x 10 4 we got the two x we got ambulance 422p one is gonna be all the way up near x 4th precinct areax and then we got 440 x now it s a maternity call x send 422p to x i should have another ambulance coming out of station 4 522 just cleared they can take avery 422 can take north glenhaven that should cover everything 10 4 amulance 422p you re gonna be taking north glenhaven ambulance 522 you re going to be taking avery,medical,EMS,,"[x] 10-4. we got the two [x]. we got ambulance 422P, one is gonna be all the way up near [x] 4th precinct area[x] and then we got 440 [x] now it's a maternity call. [x] send 422P to [x] i should have another ambulance coming out of station 4 522 just cleared. they can take avery. 422 can take north glenhaven. that should cover everything. 10-4. amulance 422P you're gonna be taking north glenhaven. ambulance 522 you're going to be taking avery."
202412040936-56143-14744_call_8.wav,ambulance 422p needed for a headache at 3288 page ave cape henry towers unit 811 at 10 56 ambulance 1420p you re needed for an illness 1952 laskin road 10 56 en route for the illness 1952 laskin road at the dollar tree 60 year old male passed out s now conscious at 10 57 422p case has been upgraded to a stroke 3288 page avenue unit 811 cape henry towers have a 92 year old female breathing conscious speaking normally having balance issues at 10 57,medical,"headache, stroke, EMS",,"ambulance 422p needed for a headache at 3288 page ave cape henry towers unit 811 at 10:56. ambulance 1420P you're needed for an illness 1952 laskin road 10:56. en route for the illness. 1952 laskin road at the dollar tree. 60 year old male passed out s now conscious at 10:57. 422P case has been upgraded to a stroke. 3288 page avenue unit 811 cape henry towers. have a 92 year old female breathing, conscious, speaking normally, having balance issues at 10:57. "
202412041035-161261-14744_call_21.wav,police department is asking if you can move your vehicle when able so that they can reopen that lane of travel x copy x dissolve command and clear the tac x all units x is going to be open i believe one possibly two lanes until we can get the accident cleared out x you said that was x yeah westbound boulevard x two lanes are x going to be closed,,,,PD is asking if you can move your vehicle when able so that they can reopen that lane of travel. [x] copy. [x] dissolve command and clear the tac. [x] all units [x] is going to be open i believe one possibly two lanes until we can get the accident cleared out. [x] you said that was [x] yeah westbound boulevard [x] two lanes are  [x] going to be closed.
202412041235-634426-14744_call_13.wav,available 1357 x 220p emergency medical services 4 en route to a cardiac arrest call 5 0 1 2 newson road caller did initially start cardiopulmonary resuscitation but has since stopped patient is a 95 year old male x engine 4 en route x case added at 13 57 ambulance 1424p en route to the cardiac call 5427 lynnbrook landing pt is a 62 year old female conscious breathing at 1358 x injuries x going to be one patient 35 year old female conscous breathing is 25 weeks pregnant at 13 58,medical,"cardiac, EMS",,"available 1357. [x] 220P EMS 4 en route to a cardiac arrest call 5-0-1-2 newson road. caller did initially start CPR but has since stopped. patient is a 95 year old male. [x] engine 4 en route. [x] case added at 13:57. ambulance 1424P en route to the cardiac call 5427 Lynnbrook Landing. pt is a 62 year old female, conscious, breathing at 1358. [x] injuries [x] going to be one patient 35 year old female, conscous breathing, is 25 weeks pregnant at 13:58."
202412041305-617206-14744_call_14.wav,x and advanced life support needed for breathing difficulty priority 1 3900 brentwood crescent rescue 15 area x copy question mark x copy 14 19 ambulance 522p en route to the illness call 1737 grey friars chase patient is an 82 year old conscous breathing not responding appropriately engine 9 is en route x at 14 20 120 x street the parking lot of x pt is a 66 year old male conscious breathing at 14 20,medical,"difficulty breathing, EMS",,"[x] and ALS needed for breathing difficulty priority 1. 3900 Brentwood Crescent rescue 15 area. [x] copy? [x] copy. 14:19. ambulance 522P en route to the illness call. 1737 Grey Friars Chase. Patient is an 82 year old, conscous, breathing, not responding appropriately. Engine 9 is en route [x] at 14:20. 120 [x] street. the parking lot of [x] Pt. is a 66 year old male, conscious breathing at 14:20."
